Id,Latitude,Longitude,On street,Zipcode,Installation Date
17299,40.8233068,-73.9440976,Edgecombe Ave,10030,04/01/2019
17297,40.7054961,-74.0132909,Broadway,10004,08/08/2019
17282,40.8511521,-73.9341050,Wadsworth Ave,10033,03/27/2019
17281,40.8286211,-73.9421437,St Nicholas Ave,10031,04/10/2020
17278,40.8510744,-73.9325869,St Nicholas Ave,10033,09/18/2019
17277,40.8499758,-73.9313338,Audubon Ave,10033,10/29/2020
17274,40.8480485,-73.9403141,W 177th St,10033,06/22/2020
17270,40.8129541,-73.9577835,La Salle St,10027,03/26/2019
17269,40.8456361,-73.9328330,Amsterdam Ave,10033,04/05/2019
17267,40.8093754,-73.9590465,W 120th St,10027,04/25/2019
17265,40.7979083,-73.9674236,Amsterdam Ave,10025,04/10/2020
17264,40.8093599,-73.9571818,Morningside Dr,10026,06/01/2020
17263,40.8067516,-73.9612325,Amsterdam Ave,10027,04/12/2019
17259,40.8054817,-73.9621662,Amsterdam Ave,10025,07/19/2019
17257,40.7955742,-73.9502751,5th Ave,10029,04/10/2020
17249,40.8017743,-73.9645811,Amsterdam Ave,10025,07/18/2019
17198,40.7299001,-73.9906010,Astor Place,10003,02/28/2019
17197,40.7515509,-73.9937849,8th Ave,10001,04/17/2019
17048,40.7699900,-73.9737102,Center Drive,10065,11/25/2019
17045,40.7236945,-74.0035356,Broome St,10012,03/15/2019
17044,40.7070202,-74.0025104,Beekman St,10038,06/01/2020
16998,40.7907920,-73.9424636,2nd Avenue,10029,05/01/2019
16968,40.8141562,-73.9617079,Riverside Dr,10027,07/06/2021
16927,40.7991032,-73.9627910,W 106th St,10025,09/28/2020
16924,40.7486394,-73.9773566,E 38th St,10016,08/07/2019
16826,40.7737223,-73.9714703,Terrace Drive,10021,04/09/2020
16808,40.7323131,-73.9989356,Waverly Pl,10011,01/16/2019
16807,40.7354733,-74.0082538,W 11th St,10014,03/05/2019
16803,40.7668778,-73.9646827,Lexington Ave,10065,01/16/2019
16799,40.7453032,-73.9713814,E 37th St,10016,06/27/2018
16780,40.7801283,-73.9613465,5th Avenue,10028,05/07/2019
16592,40.8500842,-73.9387038,Fort Washington Ave,10033,05/05/2019
16591,40.8480033,-73.9329695,Audubon Ave,10033,12/26/2018
16587,40.8454902,-73.9348118,Audubon Ave,10033,05/26/2019
16584,40.8438588,-73.9378602,St Nicholas Ave,10032,05/22/2019
16541,40.7819511,-73.9536817,Lexington Ave,10128,12/15/2019
16472,40.7963908,-73.9611095,Central Park West,10025,08/09/2019
16466,40.7953410,-73.9655813,Columbus Ave,10025,08/09/2019
16445,40.7256048,-74.0056499,Spring St,10013,01/22/2020
16260,40.7905410,-73.9518787,Madison Ave,10029,03/22/2019
16258,40.7863005,-73.9457573,2nd Ave,10029,01/22/2020
16221,40.8273243,-73.9424971,St Nicholas Pl,10031,12/26/2018
16218,40.8251354,-73.9511791,Broadway,10031,05/01/2019
16215,40.8175498,-73.9533729,Amsterdam Ave,10027,12/26/2018
16214,40.8150802,-73.9551702,Amsterdam Ave,10027,05/01/2019
16213,40.8197817,-73.9442617,Frederick Douglass Blvd,10030,05/01/2019
16211,40.8178912,-73.9382818,Malcolm X Blvd,10030,05/06/2019
16207,40.8096377,-73.9379102,Madison Ave,10037,01/21/2020
16205,40.8083866,-73.9388253,Madison Ave,10035,04/17/2019
16202,40.8038622,-73.9320207,E 127th St,10035,07/26/2019
16200,40.8031267,-73.9406851,Park Ave,10035,03/27/2019
16198,40.8025368,-73.9388507,Lexington Ave,10035,10/01/2019
16194,40.7998912,-73.9471588,5th Ave,10026,01/21/2020
16193,40.7956464,-73.9481426,Madison Ave,10029,09/06/2019
16192,40.7947827,-73.9421785,3rd Ave,10029,05/01/2019
16190,40.7987041,-73.9596995,Central Park West,10025,01/21/2020
16186,40.7245921,-74.0018003,W Broadway,10012,02/21/2019
16182,40.7221351,-74.0106498,Washington St,10013,05/31/2019
16148,40.7991647,-73.9665003,Amsterdam Ave,10025,02/24/2020
16140,40.7959869,-73.9688242,Amsterdam Ave,10025,01/21/2020
16123,40.7941069,-73.9630502,Central Park West,10025,10/14/2019
16106,40.7842885,-73.9448940,E 97th St,10029,06/21/2021
16076,40.7492986,-73.9796987,Park Ave,10016,08/27/2018
16068,40.7679911,-73.9704186,5th Ave,10065,08/27/2018
16065,40.8410685,-73.9399915,Broadway,10032,01/21/2020
16060,40.8404792,-73.9363382,Amsterdam Ave,10032,12/26/2018
16051,40.8112399,-73.9539373,W 125th St,10027,02/14/2020
16043,40.8297636,-73.9467220,W 151st St,10031,04/25/2019
16038,40.7694139,-73.9751040,Center Dr,10065,06/19/2019
16035,40.8273620,-73.9387464,Frederick Douglass Blvd,10039,01/21/2020
16015,40.7149329,-74.0098334,W Broadway,10007,12/21/2018
16012,40.8074922,-73.9549325,Manhattan Ave,10026,05/01/2019
15988,40.7939420,-73.9505384,E 106th St,10029,07/31/2019
15981,40.7877281,-73.9473205,3rd Ave,10029,12/21/2018
15972,40.7980791,-73.9619970,Manhattan Ave,10025,05/12/2021
15944,40.7525741,-73.9863749,W 38th St,10018,12/02/2020
15702,40.7602710,-73.9951413,10th Avenue,10036,04/17/2019
15568,40.8150649,-73.9345815,Madison Ave,10037,10/05/2018
15567,40.8114751,-73.9350329,E 135th St,10037,11/04/2019
15566,40.8059139,-73.9449574,W 123rd St,10027,01/29/2019
15562,40.7997181,-73.9328628,1st Ave,10035,05/30/2019
14989,40.7159076,-74.0053569,THOMAS  ST.,10007,04/02/2018
14967,40.7764371,-73.9884353,W 66TH ST,10069,04/14/2020
14966,40.8264533,-73.9526476,RIVERSIDE DR,10031,03/20/2018
14961,40.7647190,-73.9823401,BROADWAY,10019,04/14/2020
14958,40.7723646,-73.9649000,MADISON AVE,10021,01/14/2021
14955,40.7936365,-73.9763481,Riverside Dr,10025,11/30/2018
14953,40.7733833,-73.9662281,5TH AVE,10021,01/14/2021
14950,40.7412225,-73.9947999,W 20TH ST,10011,08/02/2019
14947,40.7391170,-73.9912456,5TH AVE,10003,08/30/2018
14946,40.7737546,-73.9598988,LEXINGTON AVE,10075,01/20/2018
14944,40.7944730,-73.9736500,West End Ave,10025,01/21/2020
14864,40.7547771,-73.9797439,E 44th St,10017,11/05/2018
14857,40.7060456,-74.0063551,Water St,10005,05/21/2021
14853,40.7160034,-74.0089534,W Broadway,10013,10/25/2018
14840,40.7565273,-74.0000578,Hudson Blvd W,10018,01/21/2020
14761,40.7747142,-73.9652670,5th Ave,10021,05/10/2019
14760,40.7172084,-74.0091736,Hudson St,10013,05/10/2019
14722,40.7202774,-73.9980086,Centre St,10013,05/08/2019
14619,40.7446729,-73.9753550,E 34th St,10016,02/23/2018
14618,40.7453516,-73.9791658,E 33rd St,10016,05/08/2019
14617,40.7683402,-73.9889999,10th Ave,10019,01/27/2018
14616,40.7726933,-73.9889883,W 61st St,10023,05/08/2019
14614,40.7126327,-73.9894780,Madison St,10002,04/02/2020
14402,40.7992206,-73.9609706,MANHATTAN AV,10025,09/08/2017
14401,40.7993723,-73.9555058,Adam Clayton Powell Jr.,10026,09/13/2021
14399,40.7892393,-73.9569896,East 97 Street Tranverse,10029,11/26/2019
14398,40.7891754,-73.9549529,5 AVE,10029,08/31/2018
14396,40.8227254,-73.9512809,HAMILTON PL,10031,08/18/2017
14395,40.8315982,-73.9492364,RIVERSIDE DR,10031,10/07/2017
14394,40.7947630,-73.9697241,W 97 ST,10025,09/08/2017
14393,40.8061695,-73.9673240,RIVERSIDE DR,10025,09/08/2017
14365,40.8344437,-73.9475646,RIVERSIDE DR,10032,10/07/2017
14362,40.8258140,-73.9531828,RIVERSIDE DR,10031,08/11/2017
14360,40.8221373,-73.9561409,RIVERSIDE DR,10031,11/01/2018
14357,40.8121565,-73.9535718,MORNINGSIDE AV,10027,10/07/2017
14356,40.8101726,-73.9550253,MORNINGSIDE AV,10027,09/29/2017
14355,40.8236277,-73.9495568,HAMILTON PL,10031,09/08/2017
14354,40.8225477,-73.9465985,HAMILTON TER,10031,07/24/2018
14353,40.8238787,-73.9525447,BROADWAY,10031,08/11/2017
14352,40.8350070,-73.9377889,EDGECOMB AV,10032,09/15/2017
14351,40.8306361,-73.9404237,EDGECOMB AV,10032,10/25/2017
14350,40.8265295,-73.9449440,CONVENT AV,10031,10/20/2017
14349,40.8240134,-73.9466190,CONVENT AV,10031,10/25/2017
14348,40.8221531,-73.9479826,CONVENT AV,10031,10/21/2017
14346,40.8352216,-73.9439972,BROADWAY,10032,11/30/2018
14345,40.8322355,-73.9443430,W 155 ST,10032,08/02/2017
14344,40.8313940,-73.9467937,BROADWAY,10031,11/28/2017
14342,40.8301401,-73.9476981,BROADWAY,10031,09/29/2017
14340,40.8288944,-73.9486097,BROADWAY,10031,11/28/2017
14339,40.8277942,-73.9494850,BROADWAY,10031,12/19/2017
14335,40.8207752,-73.9543751,BROADWAY,10031,09/18/2018
14334,40.8306186,-73.9438023,AMSTERDAM AV,10032,09/08/2017
14333,40.8289915,-73.9449998,AMSTERDAM AV,10031,09/08/2017
